DATE,CPIAUCSL
1/1/2018,248.859
2/1/2018,249.529
3/1/2018,249.577
4/1/2018,250.227
5/1/2018,250.792
6/1/2018,251.018
7/1/2018,251.214
8/1/2018,251.663
9/1/2018,252.182
10/1/2018,252.772
11/1/2018,252.594
12/1/2018,252.767
1/1/2019,252.718
2/1/2019,253.322
3/1/2019,254.202
4/1/2019,255.211
5/1/2019,255.29
6/1/2019,255.159
7/1/2019,255.685
8/1/2019,256.059
9/1/2019,256.511
10/1/2019,257.244
11/1/2019,257.803
12/1/2019,258.616
1/1/2020,259.037
2/1/2020,259.248
3/1/2020,258.124
4/1/2020,256.092
5/1/2020,255.868
6/1/2020,256.986
7/1/2020,258.278
8/1/2020,259.411
9/1/2020,260.029
10/1/2020,260.286
11/1/2020,260.813
12/1/2020,262.035
1/1/2021,262.65
2/1/2021,263.638
3/1/2021,264.914
4/1/2021,266.67
5/1/2021,268.444
6/1/2021,270.559
7/1/2021,271.764
8/1/2021,272.87
9/1/2021,274.028
10/1/2021,276.522
11/1/2021,278.711
12/1/2021,280.887
1/1/2022,282.599
2/1/2022,284.61
3/1/2022,287.472
4/1/2022,288.611
5/1/2022,291.268
6/1/2022,294.728
7/1/2022,294.628
8/1/2022,295.32
9/1/2022,296.539
10/1/2022,297.987
11/1/2022,298.598
12/1/2022,298.99
1/1/2023,300.536
2/1/2023,301.648
3/1/2023,301.808
4/1/2023,302.918
5/1/2023,303.294
6/1/2023,303.841
7/1/2023,304.348
8/1/2023,306.269
9/1/2023,307.481
