DATE,JTS2300JOL
2018-01-01,250
2018-02-01,218
2018-03-01,223
2018-04-01,223
2018-05-01,266
2018-06-01,289
2018-07-01,272
2018-08-01,286
2018-09-01,315
2018-10-01,275
2018-11-01,314
2018-12-01,394
2019-01-01,307
2019-02-01,295
2019-03-01,347
2019-04-01,384
2019-05-01,355
2019-06-01,291
2019-07-01,312
2019-08-01,320
2019-09-01,342
2019-10-01,320
2019-11-01,245
2019-12-01,281
2020-01-01,297
2020-02-01,309
2020-03-01,221
2020-04-01,191
2020-05-01,278
2020-06-01,239
2020-07-01,298
2020-08-01,248
2020-09-01,237
2020-10-01,246
2020-11-01,262
2020-12-01,258
2021-01-01,301
2021-02-01,264
2021-03-01,329
2021-04-01,309
2021-05-01,299
2021-06-01,324
2021-07-01,356
2021-08-01,382
2021-09-01,365
2021-10-01,405
2021-11-01,406
2021-12-01,434
2022-01-01,396
2022-02-01,421
2022-03-01,413
2022-04-01,418
2022-05-01,392
2022-06-01,383
2022-07-01,353
2022-08-01,345
2022-09-01,466
2022-10-01,398
2022-11-01,348
2022-12-01,488
2023-01-01,283
2023-02-01,404
2023-03-01,315
2023-04-01,347
2023-05-01,379
2023-06-01,386
2023-07-01,353
2023-08-01,350
