Region,Month of Period End,Median Sale Price,Median Sale Price MoM,Inventory,Inventory MoM,Supply,Mortgage Interested Rate 30,Job Opening in Construction,CPI
"Lakeville, MN",2018-01-01 00:00:00,338000,-0.016,210,0.034,4.2,4.0325,250,2.04218766562651
"Lakeville, MN",2018-02-01 00:00:00,355000,0.049,230,0.095,3.4,4.33,218,2.17511660824798
"Lakeville, MN",2018-03-01 00:00:00,350000,-0.0139999999999999,244,0.061,2.6,4.444,223,2.32136146361879
"Lakeville, MN",2018-04-01 00:00:00,334000,-0.046,210,-0.139,1.7,4.4675,223,2.40673736606446
"Lakeville, MN",2018-05-01 00:00:00,365000,0.093,246,0.171,1.7,4.586,266,2.72565662360854
"Lakeville, MN",2018-06-01 00:00:00,349000,-0.044,272,0.106,1.7,4.57,289,2.80061321777916
"Lakeville, MN",2018-07-01 00:00:00,330000,-0.054,288,0.059,2.1,4.5275,272,2.88980397925003
"Lakeville, MN",2018-08-01 00:00:00,357000,0.081,304,0.0559999999999999,2.4,4.55,286,2.65138330242869
"Lakeville, MN",2018-09-01 00:00:00,330000,-0.076,334,0.099,2.5,4.6275,315,2.24098277368582
"Lakeville, MN",2018-10-01 00:00:00,377000,0.141,312,-0.066,2.9,4.83,275,2.48609069597009
"Lakeville, MN",2018-11-01 00:00:00,369000,-0.02,265,-0.151,2.5,4.866,314,2.17253831552201
"Lakeville, MN",2018-12-01 00:00:00,375000,0.016,245,-0.075,2.5,4.6375,394,1.94929185547705
"Lakeville, MN",2019-01-01 00:00:00,336000,-0.104,238,-0.0289999999999999,4.0,4.464,307,1.59390424582153
"Lakeville, MN",2019-02-01 00:00:00,373000,0.11,225,-0.055,3.4,4.37,295,1.57642209194507
"Lakeville, MN",2019-03-01 00:00:00,350000,-0.061,245,0.089,2.7,4.265,347,1.93369675764077
"Lakeville, MN",2019-04-01 00:00:00,385000,0.1,243,-0.008,2.0,4.1425,384,2.09933124203267
"Lakeville, MN",2019-05-01 00:00:00,380000,-0.013,286,0.177,2.1,4.072,355,1.91633488150887
"Lakeville, MN",2019-06-01 00:00:00,367000,-0.034,298,0.042,2.0,3.8025,291,1.76436525632301
"Lakeville, MN",2019-07-01 00:00:00,362000,-0.0139999999999999,262,-0.121,1.7,3.765,312,1.91784320861728
"Lakeville, MN",2019-08-01 00:00:00,381000,0.053,259,-0.011,1.6,3.616,320,1.83784204880436
"Lakeville, MN",2019-09-01 00:00:00,395000,0.037,282,0.089,2.5,3.605,342,1.78148639618812
"Lakeville, MN",2019-10-01 00:00:00,366000,-0.072,260,-0.078,2.3,3.688,320,1.83537193426659
"Lakeville, MN",2019-11-01 00:00:00,390000,0.064,221,-0.15,2.0,3.695,245,2.08984170296823
"Lakeville, MN",2019-12-01 00:00:00,360000,-0.077,178,-0.195,1.8,3.72,281,2.27759167377546
"Lakeville, MN",2020-01-01 00:00:00,417000,0.158,204,0.146,3.0,3.624,297,2.49163284654151
"Lakeville, MN",2020-02-01 00:00:00,398000,-0.044,216,0.059,3.4,3.465,309,2.3402930879404
"Lakeville, MN",2020-03-01 00:00:00,380000,-0.046,242,0.12,2.4,3.45,221,1.53077983402619
"Lakeville, MN",2020-04-01 00:00:00,380000,-0.001,244,0.008,2.3,3.306,191,0.285957806033672
"Lakeville, MN",2020-05-01 00:00:00,386000,0.0139999999999999,244,0.0,2.2,3.2325,278,0.0512805772250565
"Lakeville, MN",2020-06-01 00:00:00,376000,-0.025,233,-0.045,1.6,3.1625,239,0.581270975904749
"Lakeville, MN",2020-07-01 00:00:00,403000,0.072,239,0.026,1.2,3.016,298,0.933335907356692
"Lakeville, MN",2020-08-01 00:00:00,411000,0.021,224,-0.063,1.2,2.935,248,1.2645065613625
"Lakeville, MN",2020-09-01 00:00:00,390000,-0.052,229,0.022,1.4,2.89,237,1.33200377255831
"Lakeville, MN",2020-10-01 00:00:00,396000,0.015,204,-0.109,1.0,2.834,246,1.13098154857115
"Lakeville, MN",2020-11-01 00:00:00,388000,-0.019,176,-0.1369999999999999,1.2,2.765,262,1.12215505546534
"Lakeville, MN",2020-12-01 00:00:00,400000,0.03,147,-0.165,1.1,2.684,258,1.3230121039743
"Lakeville, MN",2021-01-01 00:00:00,435000,0.087,115,-0.218,1.4,2.735,301,1.36591488479871
"Lakeville, MN",2021-02-01 00:00:00,423000,-0.026,108,-0.061,1.0,2.81,264,1.63014395317607
"Lakeville, MN",2021-03-01 00:00:00,426000,0.006,129,0.1939999999999999,1.1,3.0825,329,2.55488711871961
"Lakeville, MN",2021-04-01 00:00:00,430000,0.011,135,0.047,0.9,3.06,309,4.09116867895537
"Lakeville, MN",2021-05-01 00:00:00,425000,-0.013,118,-0.126,0.9,2.9625,299,4.92631222194243
"Lakeville, MN",2021-06-01 00:00:00,439000,0.034,131,0.11,0.6,2.975,324,5.30807697794924
"Lakeville, MN",2021-07-01 00:00:00,441000,0.005,134,0.023,0.8,2.868,356,5.26308885291013
"Lakeville, MN",2021-08-01 00:00:00,436000,-0.011,139,0.037,0.8,2.8425,382,5.17385680611682
"Lakeville, MN",2021-09-01 00:00:00,425000,-0.026,177,0.273,1.1,2.9,365,5.33181296198849
"Lakeville, MN",2021-10-01 00:00:00,451000,0.061,163,-0.079,1.1,3.0675,405,6.16898055300028
"Lakeville, MN",2021-11-01 00:00:00,448000,-0.006,138,-0.153,1.2,3.0675,406,6.75629080323472
"Lakeville, MN",2021-12-01 00:00:00,460000,0.027,116,-0.159,1.1,3.098,434,6.985817076328
"Lakeville, MN",2022-01-01 00:00:00,468000,0.016,110,-0.052,2.1,3.445,396,7.43108932815226
"Lakeville, MN",2022-02-01 00:00:00,502000,0.073,130,0.182,1.7,3.7625,421,7.83141852225068
"Lakeville, MN",2022-03-01 00:00:00,520000,0.036,164,0.262,1.8,4.172,413,8.45952431506985
"Lakeville, MN",2022-04-01 00:00:00,523000,0.005,182,0.11,1.5,4.9825,418,8.19661145805967
"Lakeville, MN",2022-05-01 00:00:00,455000,-0.129,206,0.132,1.5,5.23,392,8.51989574657224
"Lakeville, MN",2022-06-01 00:00:00,475000,0.044,252,0.223,1.5,5.522,383,8.96837147989759
"Lakeville, MN",2022-07-01 00:00:00,455000,-0.042,285,0.131,2.1,5.4125,353,8.46172172057939
"Lakeville, MN",2022-08-01 00:00:00,484000,0.064,274,-0.039,1.8,5.2225,345,8.214989378576
"Lakeville, MN",2022-09-01 00:00:00,492000,0.016,291,0.062,2.2,6.112,466,8.18910841290281
"Lakeville, MN",2022-10-01 00:00:00,455000,-0.075,262,-0.1,2.6,6.9,398,7.74669157814687
"Lakeville, MN",2022-11-01 00:00:00,460000,0.01,244,-0.069,2.9,6.805,348,7.12834438533917
"Lakeville, MN",2022-12-01 00:00:00,495000,0.077,194,-0.205,2.5,6.364,488,6.51667354017639
