Region,Month of Period End,Median Sale Price,Median Sale Price MoM,Inventory,Inventory MoM,Supply,Mortgage Interested Rate 30,Job Opening in Construction,CPI
"Marietta, GA",2018-01-01 00:00:00,265000,0.0,413,-0.053,3.6,4.0325,250,2.04218766562651
"Marietta, GA",2018-02-01 00:00:00,256000,-0.035,379,-0.0819999999999999,2.8,4.33,218,2.17511660824798
"Marietta, GA",2018-03-01 00:00:00,290000,0.134,435,0.148,2.2,4.444,223,2.32136146361879
"Marietta, GA",2018-04-01 00:00:00,292000,0.005,482,0.108,2.5,4.4675,223,2.40673736606446
"Marietta, GA",2018-05-01 00:00:00,297000,0.017,545,0.131,2.5,4.586,266,2.72565662360854
"Marietta, GA",2018-06-01 00:00:00,325000,0.096,520,-0.046,2.3,4.57,289,2.80061321777916
"Marietta, GA",2018-07-01 00:00:00,303000,-0.068,545,0.048,2.3,4.5275,272,2.88980397925003
"Marietta, GA",2018-08-01 00:00:00,270000,-0.109,553,0.015,2.8,4.55,286,2.65138330242869
"Marietta, GA",2018-09-01 00:00:00,280000,0.038,532,-0.038,3.7,4.6275,315,2.24098277368582
"Marietta, GA",2018-10-01 00:00:00,272000,-0.0289999999999999,535,0.006,3.1,4.83,275,2.48609069597009
"Marietta, GA",2018-11-01 00:00:00,271000,-0.004,519,-0.03,3.2,4.866,314,2.17253831552201
"Marietta, GA",2018-12-01 00:00:00,278000,0.026,452,-0.129,3.6,4.6375,394,1.94929185547705
"Marietta, GA",2019-01-01 00:00:00,280000,0.0069999999999999,445,-0.015,3.9,4.464,307,1.59390424582153
"Marietta, GA",2019-02-01 00:00:00,272000,-0.0279999999999999,449,0.009,3.1,4.37,295,1.57642209194507
"Marietta, GA",2019-03-01 00:00:00,295000,0.085,472,0.051,3.0,4.265,347,1.93369675764077
"Marietta, GA",2019-04-01 00:00:00,304000,0.031,506,0.072,2.7,4.1425,384,2.09933124203267
"Marietta, GA",2019-05-01 00:00:00,305000,0.003,549,0.085,2.3,4.072,355,1.91633488150887
"Marietta, GA",2019-06-01 00:00:00,299000,-0.02,529,-0.036,2.3,3.8025,291,1.76436525632301
"Marietta, GA",2019-07-01 00:00:00,323000,0.08,504,-0.047,2.3,3.765,312,1.91784320861728
"Marietta, GA",2019-08-01 00:00:00,305000,-0.0559999999999999,517,0.026,2.4,3.616,320,1.83784204880436
"Marietta, GA",2019-09-01 00:00:00,295000,-0.034,474,-0.083,2.9,3.605,342,1.78148639618812
"Marietta, GA",2019-10-01 00:00:00,306000,0.039,459,-0.032,3.0,3.688,320,1.83537193426659
"Marietta, GA",2019-11-01 00:00:00,308000,0.005,445,-0.031,3.1,3.695,245,2.08984170296823
"Marietta, GA",2019-12-01 00:00:00,301000,-0.02,386,-0.133,3.1,3.72,281,2.27759167377546
"Marietta, GA",2020-01-01 00:00:00,290000,-0.038,381,-0.013,3.9,3.624,297,2.49163284654151
"Marietta, GA",2020-02-01 00:00:00,279000,-0.04,411,0.079,3.1,3.465,309,2.3402930879404
"Marietta, GA",2020-03-01 00:00:00,310000,0.1119999999999999,437,0.063,2.3,3.45,221,1.53077983402619
"Marietta, GA",2020-04-01 00:00:00,316000,0.019,433,-0.009,3.2,3.306,191,0.285957806033672
"Marietta, GA",2020-05-01 00:00:00,305000,-0.033,443,0.023,3.3,3.2325,278,0.0512805772250565
"Marietta, GA",2020-06-01 00:00:00,328000,0.074,456,0.0289999999999999,2.5,3.1625,239,0.581270975904749
"Marietta, GA",2020-07-01 00:00:00,327000,-0.002,424,-0.07,1.8,3.016,298,0.933335907356692
"Marietta, GA",2020-08-01 00:00:00,324000,-0.009,376,-0.113,1.7,2.935,248,1.2645065613625
"Marietta, GA",2020-09-01 00:00:00,335000,0.034,345,-0.0819999999999999,1.6,2.89,237,1.33200377255831
