Region,Month of Period End,Median Sale Price,Median Sale Price MoM,Inventory,Inventory MoM,Supply,Mortgage Interested Rate 30,Job Opening in Construction,CPI
"Minneapolis, MN",2018-01-01 00:00:00,244000,0.016,654,-0.0409999999999999,1.8,4.0325,250,2.04218766562651
"Minneapolis, MN",2018-02-01 00:00:00,249000,0.021,702,0.073,2.0,4.33,218,2.17511660824798
"Minneapolis, MN",2018-03-01 00:00:00,263000,0.0559999999999999,846,0.205,1.5,4.444,223,2.32136146361879
"Minneapolis, MN",2018-04-01 00:00:00,275000,0.046,958,0.132,1.6,4.4675,223,2.40673736606446
"Minneapolis, MN",2018-05-01 00:00:00,277000,0.006,1131,0.181,1.6,4.586,266,2.72565662360854
"Minneapolis, MN",2018-06-01 00:00:00,276000,-0.002,1270,0.123,1.4,4.57,289,2.80061321777916
"Minneapolis, MN",2018-07-01 00:00:00,268000,-0.03,1327,0.045,1.6,4.5275,272,2.88980397925003
"Minneapolis, MN",2018-08-01 00:00:00,274000,0.022,1411,0.063,1.6,4.55,286,2.65138330242869
"Minneapolis, MN",2018-09-01 00:00:00,270000,-0.0139999999999999,1471,0.043,2.2,4.6275,315,2.24098277368582
"Minneapolis, MN",2018-10-01 00:00:00,270000,0.0,1392,-0.054,1.9,4.83,275,2.48609069597009
"Minneapolis, MN",2018-11-01 00:00:00,273000,0.01,1191,-0.144,1.9,4.866,314,2.17253831552201
"Minneapolis, MN",2018-12-01 00:00:00,270000,-0.011,895,-0.249,1.6,4.6375,394,1.94929185547705
"Minneapolis, MN",2019-01-01 00:00:00,268000,-0.005,859,-0.04,2.1,4.464,307,1.59390424582153
"Minneapolis, MN",2019-02-01 00:00:00,264000,-0.018,840,-0.022,2.0,4.37,295,1.57642209194507
"Minneapolis, MN",2019-03-01 00:00:00,280000,0.063,889,0.0579999999999999,1.7,4.265,347,1.93369675764077
"Minneapolis, MN",2019-04-01 00:00:00,298000,0.063,1088,0.2239999999999999,1.8,4.1425,384,2.09933124203267
"Minneapolis, MN",2019-05-01 00:00:00,305000,0.025,1255,0.153,1.5,4.072,355,1.91633488150887
"Minneapolis, MN",2019-06-01 00:00:00,300000,-0.017,1321,0.053,1.5,3.8025,291,1.76436525632301
"Minneapolis, MN",2019-07-01 00:00:00,295000,-0.017,1317,-0.003,1.5,3.765,312,1.91784320861728
"Minneapolis, MN",2019-08-01 00:00:00,293000,-0.0069999999999999,1329,0.009,1.6,3.616,320,1.83784204880436
"Minneapolis, MN",2019-09-01 00:00:00,290000,-0.01,1426,0.073,2.0,3.605,342,1.78148639618812
"Minneapolis, MN",2019-10-01 00:00:00,285000,-0.017,1345,-0.057,2.1,3.688,320,1.83537193426659
"Minneapolis, MN",2019-11-01 00:00:00,281000,-0.012,1099,-0.183,1.8,3.695,245,2.08984170296823
"Minneapolis, MN",2019-12-01 00:00:00,280000,-0.005,789,-0.282,1.4,3.72,281,2.27759167377546
"Minneapolis, MN",2020-01-01 00:00:00,275000,-0.018,760,-0.037,1.9,3.624,297,2.49163284654151
"Minneapolis, MN",2020-02-01 00:00:00,280000,0.018,796,0.047,2.0,3.465,309,2.3402930879404
"Minneapolis, MN",2020-03-01 00:00:00,305000,0.089,981,0.2319999999999999,1.7,3.45,221,1.53077983402619
"Minneapolis, MN",2020-04-01 00:00:00,312000,0.021,1002,0.021,1.7,3.306,191,0.285957806033672
"Minneapolis, MN",2020-05-01 00:00:00,300000,-0.037,1113,0.111,1.8,3.2325,278,0.0512805772250565
"Minneapolis, MN",2020-06-01 00:00:00,314000,0.045,1189,0.068,1.6,3.1625,239,0.581270975904749
"Minneapolis, MN",2020-07-01 00:00:00,323000,0.032,1358,0.142,1.6,3.016,298,0.933335907356692
"Minneapolis, MN",2020-08-01 00:00:00,324000,0.003,1521,0.12,1.7,2.935,248,1.2645065613625
"Minneapolis, MN",2020-09-01 00:00:00,312000,-0.038,1709,0.124,1.9,2.89,237,1.33200377255831
"Minneapolis, MN",2020-10-01 00:00:00,318000,0.019,1639,-0.0409999999999999,1.8,2.834,246,1.13098154857115
"Minneapolis, MN",2020-11-01 00:00:00,303000,-0.049,1297,-0.209,1.7,2.765,262,1.12215505546534
"Minneapolis, MN",2020-12-01 00:00:00,300000,-0.008,955,-0.264,1.3,2.684,258,1.3230121039743
"Minneapolis, MN",2021-01-01 00:00:00,299000,-0.003,853,-0.107,1.6,2.735,301,1.36591488479871
"Minneapolis, MN",2021-02-01 00:00:00,296000,-0.01,867,0.016,1.8,2.81,264,1.63014395317607
"Minneapolis, MN",2021-03-01 00:00:00,327000,0.105,889,0.025,1.3,3.0825,329,2.55488711871961
"Minneapolis, MN",2021-04-01 00:00:00,335000,0.024,1047,0.178,1.4,3.06,309,4.09116867895537
