Region,Month of Period End,Median Sale Price,Median Sale Price MoM,Inventory,Inventory MoM,Supply,Mortgage Interested Rate 30,Job Opening in Construction,CPI
"St. Charles, MO",2018-01-01 00:00:00,186000,-0.155,227,0.023,3.1,4.0325,250,2.04218766562651
"St. Charles, MO",2018-02-01 00:00:00,205000,0.102,251,0.106,3.4,4.33,218,2.17511660824798
"St. Charles, MO",2018-03-01 00:00:00,204000,-0.003,269,0.072,2.1,4.444,223,2.32136146361879
"St. Charles, MO",2018-04-01 00:00:00,220000,0.076,305,0.134,2.5,4.4675,223,2.40673736606446
"St. Charles, MO",2018-05-01 00:00:00,224000,0.018,279,-0.085,1.8,4.586,266,2.72565662360854
"St. Charles, MO",2018-06-01 00:00:00,220000,-0.018,300,0.075,2.0,4.57,289,2.80061321777916
"St. Charles, MO",2018-07-01 00:00:00,225000,0.022,299,-0.003,2.0,4.5275,272,2.88980397925003
"St. Charles, MO",2018-08-01 00:00:00,218000,-0.033,314,0.05,2.0,4.55,286,2.65138330242869
"St. Charles, MO",2018-09-01 00:00:00,215000,-0.011,312,-0.006,2.6,4.6275,315,2.24098277368582
"St. Charles, MO",2018-10-01 00:00:00,220000,0.023,295,-0.054,2.1,4.83,275,2.48609069597009
"St. Charles, MO",2018-11-01 00:00:00,221000,0.005,278,-0.0579999999999999,2.6,4.866,314,2.17253831552201
"St. Charles, MO",2018-12-01 00:00:00,200000,-0.095,217,-0.2189999999999999,2.0,4.6375,394,1.94929185547705
"St. Charles, MO",2019-01-01 00:00:00,229000,0.145,176,-0.1889999999999999,2.3,4.464,307,1.59390424582153
"St. Charles, MO",2019-02-01 00:00:00,225000,-0.017,189,0.074,2.2,4.37,295,1.57642209194507
"St. Charles, MO",2019-03-01 00:00:00,216000,-0.04,199,0.053,2.1,4.265,347,1.93369675764077
"St. Charles, MO",2019-04-01 00:00:00,235000,0.088,218,0.095,1.6,4.1425,384,2.09933124203267
"St. Charles, MO",2019-05-01 00:00:00,230000,-0.021,243,0.115,1.9,4.072,355,1.91633488150887
