Region,Month of Period End,Median Sale Price,Median Sale Price MoM,Inventory,Inventory MoM,Supply,Mortgage Interested Rate 30,Job Opening in Construction,CPI
"St. Louis, MO",2018-01-01 00:00:00,139000,-0.096,1382,-0.0289999999999999,4.3,4.0325,250,2.04218766562651
"St. Louis, MO",2018-02-01 00:00:00,146000,0.05,1465,0.06,4.2,4.33,218,2.17511660824798
"St. Louis, MO",2018-03-01 00:00:00,147000,0.004,1534,0.047,3.2,4.444,223,2.32136146361879
"St. Louis, MO",2018-04-01 00:00:00,149000,0.0139999999999999,1590,0.037,3.0,4.4675,223,2.40673736606446
"St. Louis, MO",2018-05-01 00:00:00,165000,0.107,1659,0.043,2.5,4.586,266,2.72565662360854
"St. Louis, MO",2018-06-01 00:00:00,170000,0.03,1735,0.046,2.9,4.57,289,2.80061321777916
"St. Louis, MO",2018-07-01 00:00:00,162000,-0.046,1743,0.005,2.9,4.5275,272,2.88980397925003
"St. Louis, MO",2018-08-01 00:00:00,166000,0.025,1755,0.0069999999999999,3.2,4.55,286,2.65138330242869
"St. Louis, MO",2018-09-01 00:00:00,160000,-0.036,1830,0.043,3.9,4.6275,315,2.24098277368582
"St. Louis, MO",2018-10-01 00:00:00,152000,-0.05,1806,-0.013,3.6,4.83,275,2.48609069597009
"St. Louis, MO",2018-11-01 00:00:00,150000,-0.013,1661,-0.08,3.7,4.866,314,2.17253831552201
"St. Louis, MO",2018-12-01 00:00:00,147000,-0.022,1425,-0.142,3.5,4.6375,394,1.94929185547705
"St. Louis, MO",2019-01-01 00:00:00,151000,0.0289999999999999,1180,-0.172,4.0,4.464,307,1.59390424582153
"St. Louis, MO",2019-02-01 00:00:00,145000,-0.04,1259,0.067,3.1,4.37,295,1.57642209194507
"St. Louis, MO",2019-03-01 00:00:00,160000,0.104,1356,0.077,3.0,4.265,347,1.93369675764077
"St. Louis, MO",2019-04-01 00:00:00,170000,0.062,1423,0.049,2.6,4.1425,384,2.09933124203267
"St. Louis, MO",2019-05-01 00:00:00,162000,-0.046,1426,0.002,2.2,4.072,355,1.91633488150887
